Unit,word,length,complexity,audio_f,kan_translation,kan_transliteration,mal_translation,mal_transliteration,tel_translation,tel_transliteration,hin_translation,hin_transliteration,tam_translation,tam_transliteration
unit_1_1,ever,4,1,ever.mp3,ಎಂದೆಂದಿಗೂ,ಎವರ್,എന്നേക്കും,ഇവർ,ఎప్పుడూ,ఎవర్,कभी,एवर,எப்போதும்,எவர்
unit_1_1,cry,3,1,cry.mp3,ಅಳಲು,ಕ್ರೈ,കരയുക,ക്രൈ,ఏడుపు,క్రై,रोना,क्राई,அழுகை,க்ரை
unit_1_1,tree,4,1,tree.mp3,ಮರ,ಟ್ರೀ,വൃക്ഷം,ട്രീ,చెట్టు,ట్రీ,पेड़,ट्री,மரம்,ட்ரீ
unit_1_1,green,5,2,green.mp3,ಹಸಿರು,ಗ್ರೀನ್,പച്ച,ഗ്രീൻ,ఆకుపచ్చ,గ్రీన్,हरा,ग्रीन,பச்சை,கிறீன்
unit_1_1,shade,5,2,shade.mp3,ನೆರಳು,ಶೇಡ್,തണൽ,ഷെഡ്,నీడ,షేడ్,छाया,शेड,நிழல்,ஷேட்
unit_1_1,sun,3,1,sun.mp3,ಸೂರ್ಯ,ಸನ್,സൂര്യൻ,സൺ,సూర్యుడు,సన్,सूरज,सन  ,சூரியன்,சன்
unit_1_1,under,5,2,under.mp3,ಅಡಿಯಲ್ಲಿ,ಅಂಡರ್,കീഴിൽ,അണ്ടർ,కింద,అండర్,के अंतर्गत,अंडर,கீழ்,அண்டர்
unit_1_1,sit,3,1,sit.mp3,ಕುಳಿತುಕೊಳ್ಳಿ,ಸೈಟ,ഇരിക്കുക,സിറ്റ്,కూర్చుని,సిట్,बैठिये,सीट,உட்கார,சீட்
unit_1_2,three,5,2,three.mp3,ಮೂರು,ಥ್ರೀ,മൂന്ന്,ത്രീ,మూడు,త్రి,तीन,थ्री,மூன்று,த்ரீ
unit_1_2,pig,3,1,pig.mp3,ಹಂದಿ,ಪಿಗ್,പന്നി,പിഗ്,పంది,పిగ్,सूअर,पिग,பன்றி,பிக்
unit_1_2,live,4,1,live.mp3,ಬದುಕು,ಲೈವ್,തത്സമയം,ലൈവ്,ప్రత్యక్ష ప్రసారం,లైవ్,लाइव,लाइव,வாழ,லைவ்
unit_1_2,straw,5,2,straw.mp3,ಒಣಹುಲ್ಲಿನ,ಸ್ಟ್ರಾ,വൈക്കോൽ,സ്‌ട്രോ,గడ్డి,స్ట్రా,पुआल,स्ट्रॉ,வைக்கோல்,ஸ்ட்ரா
unit_1_2,stick,5,2,stick.mp3,ಕೊಲು,ಸ್ಟಿಕ್,വടി,സ്റ്റിക്,కర్ర,స్టిక్,छड़ी,स्टिक,குச்சி,ச்டிச்க்
unit_1_2,one,3,1,one.mp3,ಒಂದು,ಒನ್,ഒന്ന്,ഒന്ന്,ఒకటి,వన్,एक,वन,ஒன்று,வண்
unit_1_2,big,3,1,big.mp3,ದೊಡ್ಡದು,ಬಿಗ್,വലുത്,ബിഗ്,పెద్దది,బిగ్,बड़े,बिग,பெரியது,பிக்
unit_1_2,bad,3,1,bad.mp3,ಕೆಟ್ಟದು,ಬ್ಯಾಡ,മോശം,ബാഡ്,చెడు,బాడ్,खराब,बाद,மோசமான,பாட்
unit_1_2,wolf,4,1,wolf.mp3,ತೋಳ,ವೂಲ್ಫ್,ചെന്നായ,വോൾഫ്,తోడేలు,వోల్ఫ్,भेड़िया,वुल्फ,ஓநாய்,வோல்ப்
unit_1_2,blow,4,1,blow.mp3,ಬೀಸು,ಬ್ಲೋ,ഉൂതുക,ബ്ലോ,దెబ్బ,బ్లో,फुंक मारा,ब्लो,அடி,பிளா
unit_1_2,down,4,1,down.mp3,ಕೆಳಗೆ,ಡೌನ್,താഴേ,ഡൌൺ,డౌన్,డౌన్,नीचे,डाउन,கீழ்,டோவ்ன்
unit_1_2,ran,3,1,ran.mp3,ಓಡಿಹೋಯಿತು,ರನ್,ഓടി,റൺ,పరిగెడుతూ,రాం,दौड़ा,राण,ஓடியது,ரான்
unit_1_2,brick,5,2,brick.mp3,ಇಟ್ಟಿಗೆ,ಬ್ರಿಕ್,ഇഷ്ടിക,ബ്രിക്ക്,ఇటుక,బ్రిక్,ईंट,ब्रिक,செங்கல்,பிரிக்க
unit_1_2,strong,6,2,strong.mp3,ಬಲವಾದ,ಸ್ಟ್ರಾಂಗ್,ശക്തമായ,സ്ട്രോങ്ങ്,బలంగా ఉంది,స్ట్రాంగ్,मजबूत,स्ट्रांग,வலுவான,ஸ்ட்ரோங்
unit_1_2,together,8,3,together.mp3,ಒಟ್ಟಿಗೆ,ಟುಗೆದರ್,ഒരുമിച്ച്,ടുഗത൪,కలిసి,తొగెథెర్,साथ में,टुगेदर,ஒன்றாக,டுகெதர்
unit_2_1,bath,4,1,bath.mp3,ಸ್ನಾನ,ಬಾತ್,കുളി,ബാത്ത്,స్నానం,బాత్,स्नान,बाथ,குளியல்,பாத்
unit_2_1,wipe,4,1,wipe.mp3,ತೊಡೆ,ವೈಪ್,തുടച്ചുമാറ്റുക,ൈവപ്പ്,తుడవడం,వైపే,पोंछ,वाइप,துடைக்க,வைப்
unit_2_1,dry,3,1,dry.mp3,ಒಣಗಿಸಿ,ಡ್ರೈ,വരണ്ട,ഡ്രൈ,పొడి,డ్రై,सूखी,ड्राई,உலர்ந்த, ட்ரை
unit_2_1,hand,4,1,hand.mp3,ಕೈ,ಹ್ಯಾಂಡ್,കൈ,ഹാൻഡ്,చెయ్యి,హ్యాండ్,हाथ,हैंड,கை,ஹான்ட்
unit_2_1,finger,6,2,finger.mp3,ಬೆರಳು,ಫಿಂಗರ್,വിരല്,ഫിംഗർ,వేలు,ఫింగర్,उंगली,फिंगर,விரல்,பிங்கர்
unit_2_1,toe,3,1,toe.mp3,ಪಾದಾಂಗುಲಿ,ಟೋ,കാൽവിരൽ,ടോ,బొటనవేలు,తోలే,पैर की अंगुली,तोए,கால் விரல்,டோ
unit_2_1,two,3,1,two.mp3,ಎರಡು,ಟೂ,രണ്ട്,ടു,రెండు,త్వో,दो,टू,இரண்டு,டூ
unit_2_1,wet,3,1,wet.mp3,ಒದ್ದೆ,ವೆಟ್,നനവ്,െവറ്റ്,తడి,వెట్,गीला,वेट,ஈரமான,வெட்
unit_2_1,leg,3,1,leg.mp3,ಕಾಲು,ಲೆಗ್,കാല്,ലെഗ്,కాలు,లెగ్,टांग,लेग,கால்,லெக்
unit_2_1,shine,5,2,shine.mp3,ಹೊಳೆಯಿರಿ,ಶೈನ್,തിളങ്ങുക,ഷൈൻ,షైన్,షైన్,चमक,शाइन,பிரகாசிக்கவும்,ஷைன்
unit_2_1,nose,4,1,nose.mp3,ಮೂಗು,ನೋಸ್,മൂക്ക്,നോസ്,ముక్కు,నోస్,नाक,नोज,மூக்கு,நோஸ்
unit_2_1,time,4,1,time.mp3,ಸಮಯ,ಟೈಮ್,സമയം,ടൈം,సమయం,టైం,समय,टाइम,நேரம்,தடவை
unit_2_1,dog,3,1,dog.mp3,ನಾಯಿ,ಡಾಗ್,നായ,ഡോഗ്,కుక్క,డాగ్,कुत्ता,डॉग,நாய்,டாக்
unit_2_1,shake,5,2,shake.mp3,ಅಲುಗಾಡಿಸಿ,ಶೇಕ್,കുലുക്കുക,ഷേക്ക്,షేక్,షాక్,हिलना,शेक,குலுக்கல்,ஷே
unit_2_2,bubble,6,2,bubble.mp3,ನೀರುಬುಗ್ಗೆ,ಬಬಲ್,കുമള,ബബിൾ,బుడగ,బబుల్,बुलबुला,बबल,குமிழி,புப்ப்ளே
unit_2_2,shoe,4,1,shoe.mp3,ಪಾದರಕ್ಷೆ,ಶೂ,ഷൂ,ഷൂ,షూ,షూ,जूता,शू,ஷூ,சூ
unit_2_2,forest,6,2,forest.mp3,ಅರಣ್ಯ,ಫಾರೆಸ್ಟ್,വനം,ഫോറെസ്റ്റ്,అడవి,ఫారెస్ట్,जंगल,फारेस्ट,காடு,போரெஸ்ட்
unit_2_2,river,5,2,river.mp3,ನದಿ,ರಿವರ್,നദി,റിവർ,నది,రివర్,नदी,रिवर,நதி,ரிவேர்
unit_2_2,float,5,2,float.mp3,ತೇಲುವುದು,ಫ್ಲೋಟ್,ഒഴുകുക,ഫ്ലോട്ട്,ఫ్లోట్,ఫ్లోట్,तैरना,फ्लोट,மிதவை,பிலோட்ட
unit_2_2,stretch,7,3,stretch.mp3,ಹಿಗ್ಗಿಸಿ,ಸ್ಟ್ರೇಟ್ಚ್,വലിച്ചുനീട്ടുക,സ്ട്രെച്ച്,సాగదీయండి,స్ట్రెచ్,खिंचाव,स्ट्रेच,நீட்சி,ஸ்ட்ரெட்ச்
unit_2_2,himself,7,3,himself.mp3,ಸ್ವತಃ,ಹಿಂಸೆಲ್ಫ್,സ്വയം,ഹിംസൽഫ്,స్వయంగా,హింసెల్ఫ్,स्वयं,हिमसेल्फ,தன்னை,கிம்சேலஃ
unit_2_2,bank,4,1,bank.mp3,ನದೀತೀರ,ಬ್ಯಾಂಕ್,ബാങ്ക്,ബാങ്ക്,బ్యాంక్,బ్యాంకు,तट,बैंक,வங்கி,பேங்க்
unit_2_2,jump,4,1,jump.mp3,ನೆಗೆತ,ಜಂಪ್,ചാടുക,ജമ്പ്,ఎగిరి దుముకు,జంప్,कूद,जम्प,குதி,ஜம்ப்
unit_2_2,broke,5,2,broke.mp3,ಮುರಿಯಿತು,ಬ್ರೋಕ್,തകർന്നു,ബ്രോക്,విరిగింది,బ్రొకె,तोड़ दिया,ब्रोक,உடைந்தது,ப்ரோக்கே
unit_2_2,fell,4,1,fell.mp3,ಬಿದ್ದ,ಫೆಲ್,വീണു,ഫെൽ,పడిపోయింది,ఫిల్,गिर गया,फेल,விழுந்தது,பிள்ள
unit_2_2,water,5,2,water.mp3,ನೀರು,ವಾಟರ್,വെള്ളം,വാട്ടർ,నీటి,వాటర్,पानी,वाटर,தண்ணீர்,வாட்டர்
unit_2_2,loud,4,1,loud.mp3,ಜೋರಾಗಿ,ಲೌಡ್,ഉച്ചത്തിൽ,ലൗഡ്,బిగ్గరగా,లౌడ్,जोर,लाउड,உரத்த,லூத்
unit_2_2,splash,6,2,splash.mp3,ಎರಚು,ಸ್ಪ್ಲಾಷ್,സ്പ്ലാഷ്,സ്പ്ലാഷ്,స్ప్లాష్,స్ప్లాష్,छप छप,स्प्लैश,ஸ்பிளாஸ்,ஸ்பிளாஷ்
unit_2_2,shook,5,2,shook.mp3,ನಡುಗಿತು,ಶೂಕ್,കുലുക്കി,ഷൂഖ്,కదిలింది,శూక్,हिलाकर रख दिया,शोक,அதிர்ந்தது,ஷூட்
unit_2_2,burst,5,2,burst.mp3,ಸಿಡಿ,ಬರ್ಸ್ಟ್,പൊട്ടിത്തെറിക്കുക,ബുർസ്റ്,పేలుడు,బరస్ట్,विस्फोट,बर्स्ट,வெடிக்க,பர்ஸ்ட்
unit_3_1,kitten,6,2,kitten.mp3,ಬೆಕ್ಕಿನ ಮರಿ,ಕಿಟನ್,പൂച്ചക്കുട്ടി,കിറ്റൻ,పిల్లి,కిట్టెన్,बिल्ली का बच्चा,किटेन,பூனைக்குட்டி,கிட்டேன்
unit_3_1,cat,3,1,cat.mp3,ಬೆಕ್ಕು,ಕ್ಯಾಟ್,പൂച്ച,കാറ്റ്,పిల్లి,చట్,बिल्ली,कैट,பூனை,கேட்
unit_3_1,baby,4,1,baby.mp3,ಮಗು,ಬೇಬಿ,കുഞ്ഞ്,ബേബി,బిడ్డ,బేబీ,बेबी,बेबी,குழந்தை,பேபி
unit_3_1,butterfly,9,3,butterfly.mp3,ಚಿಟ್ಟೆ,ಬಟರ್ಫ್ಲೈ,ചിത്രശലഭം,ബട്ടർഫ്‌ളൈ,సీతాకోకచిలుక,బటర్ఫ్లై,तितली,बटरफ्लाई,பட்டாம்பூச்சி,பட்டர்பிளை
unit_3_1,four,4,1,four.mp3,ನಾಲ್ಕು,ಫೋರ್,നാല്,ഫോർ,నాలుగు,ఫోర్,चार,फोर,நான்கு,பௌர்
unit_3_1,rat,3,1,rat.mp3,ಇಲಿ,ರ್ರ್ಯಾಟ್,എലി,റാററ്,ఎలుక,రట్,चूहा,रैट,எலி,ராட்
unit_3_1,five,4,1,five.mp3,ಐದು,ಫೈವ್,അഞ്ച്,ഫൈവ്,ఐదు,ఫైవ్,पांच,फाइव,ஐந்து,பைவ்
unit_3_1,fat,3,1,fat.mp3,ಕೊಬ್ಬು,ಫ್ಯಾಟ್,കൊഴുപ്പ്,ഫാറ്റ്,కొవ్వు,ఫాట్,मोटी,फैट,கொழுப்பு,பாட்
unit_3_1,fish,4,1,fish.mp3,ಮೀನು,ಫಿಶ್,മത്സ്യം,ഫിഷ്,చేప,ఫిష్,मछली,फिश,மீன்,பிஷ்
unit_3_1,six,3,1,six.mp3,ಆರು,ಸಿಕ್ಸ್,ആറ്,സിക്സ്,ఆరు,సిక్స్,छह,सिक्स,ஆறு,சீக்ஸ்
unit_3_1,sad,3,1,sad.mp3,ದುಃಖ,ಸ್ಯಾಡ್,ദുഃഖകരമായ,സാഡ്,విచారంగా,షడ్,उदास,सैड,சோகம்,ஸாட்
unit_3_1,seal,4,1,seal.mp3,ಮುದ್ರೆ,ಸೀಲ್,മുദ്ര,സീൽ,ముద్ర,సీల్,मुहर,सील,முத்திரை,சீல்
unit_3_1,seven,5,2,seven.mp3,ಏಳು,ಸೆವೆನ್,ഏഴ്,ഏഴ്,ఏడు,సెవెన్,सात,सेवन,ஏழு,செவேன்
unit_3_1,silly,5,2,silly.mp3,ದಡ್ಡ,ಸಿಲ್ಲಿ,നിസാരമായ,സില്ലി,వెర్రి,సిల్లీ,मूर्खतापूर्ण,सिली,வேடிக்கையான,ஸில்லி
unit_3_1,seagull,7,3,seagull.mp3,ಬೆಳ್ಳಕ್ಕಿ,ಸೀಗುಲ್,കടൽകാക്ക,സീഗൾ,సీగల్,సీగల్,गंगा-चिल्ली,सीगल,சீகல்,சீகல்
unit_3_1,eight,5,2,eight.mp3,ಎಂಟು,ಏಟ್,എട്ട്,ഏയ്ട്ട്,ఎనిమిది,ఎయిట్,आठ,आठ,எட்டு,எயிட்
unit_3_1,eel,3,1,eel.mp3,ನೀರ ಹಾವು,ಈಲ್,ഈൽ,ഈൽ,తిమ్మిరి చేప,ఈల్,बाम मछली,ईल,ஈல்,ஈல்
unit_3_1,nine,4,1,nine.mp3,ಒಂಬತ್ತು,ನೈನ್,ഒമ്പത്, ൈനൻ,తొమ్మిది,నైన్,नौ,नाइन,ஒன்பது,நின்
unit_3_1,nervous,7,3,nervous.mp3,ಮಾನಸಿಕ ಒತ್ತಡ,ನರ್ವಸ್,നാഡീവ്യൂഹം,നേർവസ്,నాడీ,నెర్వస్,बेचैन,नर्वस,பதட்டமாக,நெர்வஸ்
unit_3_1,lizard,6,2,lizard.mp3,ಹಲ್ಲಿ,ಲಿಝರ್ಡ್,പല്ലി,ലിസാർഡ്,బల్లి,లిజార్డ్,छिपकली,लिज़र्ड,பல்லி,லிசார்ட்
unit_3_1,ten,3,1,ten.mp3,ಹತ್ತು,ಟೆನ್,പത്ത്,ടെൻ,పది,టెన్,दस,तेन,பத்து,டெண்
unit_3_1,brave,5,2,brave.mp3,ಧೈರ್ಯಶಾಲಿ,ಬ್ರೇವ್,ധീരൻ,ബ്രേവ്,ధైర్యవంతుడు,బ్రేవ్,बहादुर,ब्रेव,தைரியமான,ப்னேவ்
unit_3_1,bee,3,1,bee.mp3,ಜೇನುನೊಣ,ಬೀ,തേനീച്ച,ബീ,తేనెటీగ,బీ,मधुमक्खी,बी,தேனீ,பீ
unit_3_1,eleven,6,2,eleven.mp3,ಹನ್ನೊಂದು,ಇಲೆವೆನ್,പതിനൊന്ന്,ലവൻ,పదకొండు,ఎలెవన్,ग्यारह,एलेवेन,பதினொன்று,எலிவன்
unit_3_1,smelly,6,2,smelly.mp3,ನಾರುವ,ಸ್ಮೆಲ್ಲಿ,മണമുള്ള, സ്മെല്ലി,స్మెల్లీ,స్మెల్లీ,बदबूदार,स्मेल्ली,மணமான,ஸ்மெல்லி
unit_3_1,elephant,8,3,elephant.mp3,ಆನೆ,ಎಲಿಫೆಂಟ್,ആന,എലിഫന്റ്റ്,ఏనుగు,ఎలిఫెంట్,हाथी,एलीफैंट,யானை,எலிபாண்ட்
unit_3_1,twelve,6,2,twelve.mp3,ಹನ್ನೆರಡು,ಟವೆಲ್ವೆ,പന്ത്രണ്ട്,ട്വൽവ്,పన్నెండు,ట్వెల్వ్,बारह,ट्वेल्व,பன்னிரண்டு,டவெலவெ
unit_3_1,fleas,5,2,fleas.mp3,ಚಿಗಟಗಳು,ಫ್ಲಿಸ್,ഈച്ചകൾ,ഫ്‌ലീസ്,ఈగలు,ఫ్లెర్స్,पिस्सू,फ्लीस,பிளேஸ்,பிளேஸ்
unit_3_1,thirteen,8,3,thirteen.mp3,ಹದಿಮೂರು,ಥರ್ಟೀನ್,പതിമൂന്ന്,തിർടീൻ,పదమూడు,థర్టీన్,तेरह,थर्टीन,பதின்மூன்று,திரட்டின்
unit_3_1,alligator,9,3,alligator.mp3,ಮೊಸಳೆ,ಅಲ್ಲೀಗಟರ್,അലിഗേറ്റർ,അലിഗേറ്റർ,ఎలిగేటర్,అలిగేటర్,घड़ियाल,एलीगेटर,முதலை,அல்லிகடோர்
unit_3_1,fourteen,8,3,fourteen.mp3,ಹದಿನಾಲ್ಕು,ಫೋರ್ಟೀನ್,പതിനാല്,ഫോർട്ടീൻ,పద్నాలుగు,ఫోర్టీన్,चौदह,फोर्टीन,பதினான்கு,போஉற்றீன்
unit_3_1,whale,5,2,whale.mp3,ತಿಮಿಂಗಿಲ,ವೇಲ್,തിമിംഗലം,വേൽ,తిమింగలం,వేల్,तिमि,व्हले,திமிங்கிலம்,வாலே
unit_3_1,fifteen,7,3,fifteen.mp3,ಹದಿನೈದು,ಫಿಫ್ಟೀನ್,പതിനഞ്ച്,ഫിഫ്റ്റീൻ,పదిహేను,ఫిఫ్టీన్,पंद्रह,फिफ्टीन,பதினைந்து,பைபியீன்
unit_3_1,donkey,6,2,donkey.mp3,ಕತ್ತೆ,ಡಾಂಕಿ,കഴുത,ഡോൻകീ,గాడిద,డొంకేయ్,गधा,डोंकी,கழுதை,டொங்கிய
unit_3_1,tail,4,1,tail.mp3,ಬಾಲ,ಟೈಲ್,വാൽ,ടൈൽ,తోక,టైల్,पूंछ,टेल,வால்,டைல்
unit_3_2,hen,3,1,hen.mp3,ಕೋಳಿ,ಹೆನ್,കോഴി,ഹെൻ,కోడి,హేన్,मुर्गी,हेन  ,கோழி,ஹென்
unit_3_2,chick,5,2,chick.mp3,ಮರಿ,ಚಿಕ್,കോഴിക്കുഞ്ഞ്,ചിക്ക്,చిక్,చిక్,चूजा,चिक,குஞ்சு,சிக்க
unit_3_2,love,4,1,love.mp3,ಪ್ರೀತಿ,ಲವ್,സ്നേഹം,ലവ്,ప్రేమ,లవ్,प्यार,लव,காதல்,லவ்
unit_3_2,yellow,6,2,yellow.mp3,ಹಳದಿ,ಯಲ್ಲೋ,മഞ്ഞ,യെൽലോ,పసుపు,యెల్లో,पीला,येलो,மஞ்சள்,எல்லோ
unit_3_2,plant,5,2,plant.mp3,ಸಸ್ಯ,ಪ್ಲಾಂಟ್,പ്ലാന്റ്,പ്ലാന്റ്,మొక్క,ప్లాంట్,पौधा,प्लांट,ஆலை,பிளான்ட்
unit_3_2,chilli,6,2,chilli.mp3,ಮೆಣಸಿನಕಾಯಿ,ಚಿಲ್ಲಿ,മുളക്,ചില്ലി,మిరప,చిల్లి,मिर्च,चिल्ली,மிளகாய்,சில்லி
unit_3_2,hot,3,1,hot.mp3,ಬಿಸಿ,ಹಾಟ್,ചൂടുള്ള,ഹോട്,వేడి,హాట్,गरम,हॉट,சூடான,ஹாட்
unit_3_2,mouth,5,2,mouth.mp3,ಬಾಯಿ,ಮೌತ್,വായ,മൗത്,నోరు,మౌత్,मुंह,माउथ,வாய்,மௌத்
unit_3_2,burn,4,1,burn.mp3,ದಹಿಸು,ಬರ್ನ್,പൊള്ളുക,ബേൺ,బర్న్,బర్న్,जलाना,बर्न,எரிக்க,பூர்ண
unit_3_2,scream,6,2,scream.mp3,ಕಿರುಚಾಡಿ,ಸ್ಕ್ರೀಮ್,നിലവിളി,സ്‌ക്രീം,కేకలు,స్క్రీం,चीख,स्क्रीम,அலறல்,சசிரேயாம்
unit_3_2,mother,6,2,mother.mp3,ತಾಯಿ,ಮದರ್,അമ്മ,മദർ,తల్లి,మదర్,मां,मदर,அம்மா,மதர்
unit_3_2,run,3,1,run.mp3,ಓಡು,ರನ್,ഓടുക,റൺ,రన్,రన్,दौड़ना,रन,ஓடு,ரன்
unit_3_2,gobble,6,2,gobble.mp3,ಕಸಿದುಕೊ,ಗಬಲ್,ഗോബിൾ,ഗോബിൾ,గాబుల్,గాబల్,हडप जाना,गोब्बल,கோபல்,கோப்ப்ளே
unit_3_2,stop,4,1,stop.mp3,ನಿಲ್ಲಿಸಿ,ಸ್ಟಾಪ್,നിർത്തുക,സ്റ്റോപ്പ്,ఆపండి,స్టాప్,रुकें,स्टॉप,நிறுத்து,ஸ்டாப்
unit_3_2,kiss,4,1,kiss.mp3,ಮುತ್ತು,ಕಿಸ್,ചുംബനം,കിസ്,ముద్దు,కిస్,चुम्मा,किस  ,முத்தம்,கிச்
unit_4_1,bird,4,1,bird.mp3,ಹಕ್ಕಿ,ಬರ್ಡ್,പക്ഷി,ബിഡ്,పక్షి,బర్డ్,चिड़िया,बर्ड,பறவை,பிரட்
unit_4_1,hop,3,1,hop.mp3,ಕುಪ್ಪಳಿಕೆ,ಹಾಪ್,ഹോപ്പ്,ഹോപ്പ്,హాప్,హాప్,कूद,हॉप,ஹாப்,ஹாப்
unit_4_1,window,6,2,window.mp3,ಕಿಟಕಿ,ವಿಂಡೋ,ജാലകം,വിന്ഡോ,కిటికీ,విండో,खिड़की,विंडो,ஜன்னல்,விண்டோ
unit_4_1,flew,4,1,flew.mp3,ಹಾರಿಹೋಯಿತು,ಫ್ಲಿವ್,പറന്നു,ഫ്‌ളേവ,ఎగిరింది,ఫ్ల్యూ,उड़ान भरी,फ्लू,பறந்தது,பிலீவ்
unit_4_2,parrot,6,2,parrot.mp3,ಗಿಳಿ,ಪ್ಯಾರಟ್,കിളി,പരരോട്,చిలుక,ఫర్రోట్,तोता,पैरेट,கிளி,பர்ரோட்
unit_4_2,beak,4,1,beak.mp3,ಕೊಕ್ಕು,ಬೀಕ್,കൊക്ക്,ബീക്,ముక్కు,బేక్,चोंच,बैंक,கொக்கு,பேங்க்
unit_4_2,fly,3,1,fly.mp3,ಹಾರಿಸು,ಫ್ಲೈ,പറക്കുക,ഫ്ലൈ,ఎగురు,ఫ్లై,उड़ना,फ्लाई,ஈ,பிளை
unit_4_2,look,4,1,look.mp3,ನೋಡಿ,ಲುಕ್,നോക്കൂ,ലുക്ക്,చూడండి,లుక్,नज़र,लुक,பாருங்கள்,லுக்
unit_4_2,mango,5,2,mango.mp3,ಮಾವು,ಮ್ಯಾಂಗೋ,മാമ്പഴം,മംഗോ,మామిడి,మాంగో,आम,मैंगो,மாங்கனி,மாங்காய்
unit_4_2,eat,3,1,eat.mp3,ತಿನ್ನಿರಿ,ಈಟ್,കഴിക്കുക, ഇൗറ്റ്,తినండి,ఈట్,खाना,ईट,சாப்பிடுங்கள்,எஅட்
unit_4_2,voice,5,2,voice.mp3,ಧ್ವನಿ,ವಾಯ್ಸ್,ശബ്ദം,വോയിസ്,వాయిస్,వాయిస్,आवाज़,वौइस्,குரல்,வாய்ஸ்
unit_4_2,black,5,2,black.mp3,ಕಪ್ಪು,ಬ್ಲಾಕ್,കറുപ്പ്,ബ്ലാക്ക്,నలుపు,బ్లాక్,काली,ब्लैक,கருப்பு,பழசக்
unit_4_2,crow,4,1,crow.mp3,ಕಾಗೆ,ಕ್ರೌ,കാക്ക,ക്രോ,కాకి,క్రో,कौआ,क्रो,காகம்,கிரௌ
unit_4_2,shout,5,2,shout.mp3,ಕಿರುಚು,ಶೌಟ್,അലറുക,ഷൗട്ട്,అరవడం,షూట్,चिल्लाओ,शॉट,கூச்சலிடுங்கள்,ஷோவுட்
unit_4_2,afraid,6,2,afraid.mp3,ಹೆದರಿದ,ಅಫ್ರೈಡ್,ഭയപ്പെട്ടു,അഫൃയ്‌ഡ്‌,భయపడటం,అఫ్రీది,डरा हुआ,अफ्रेड,பயம்,காப்பிரைட்
unit_4_2,balloon,7,3,balloon.mp3,ಪುಗ್ಗ,ಬಲೂನ್,ബലൂണ്,ബലൂണ്,బెలూన్,బెలూన్,गुब्बारा,बैलून,பலூன்,பலூன்
unit_4_2,idea,4,1,idea.mp3,ಕಲ್ಪನೆ,ಐಡಿಯಾ,ആശയം,ഐഡിയ,ఆలోచన,ఐడియా,विचार,आईडिया,யோசனை,ஐடியா
unit_4_2,pick,4,1,pick.mp3,ಆಯ್ಕೆ,ಪಿಕ್,തിരഞ്ഞെടുക്കുക,പിക്ക്,ఎంచుకోండి,పిక్,चुनना,पिक,தேர்ந்தெடு,பறிக்கக்
unit_4_2,careful,7,3,careful.mp3,ಎಚ್ಚರಿಕೆಯಿಂದ,ಕೇರ್ಫುಲ್,ശ്രദ്ധാപൂർവ്വം,കേർഫുൾ,జాగ్రత్తగా,కేర్ఫుల్,सावधान,केयरफुल,கவனமாக,கேர்ஃபுல்
unit_4_2,behind,6,2,behind.mp3,ಹಿಂದೆ,ಬಿಹೈಂಡ್,പിന്നിൽ,ബിഹൈൻട്,వెనుక,బెహింద్,पीछे - पीछे,बिहाइंड,பின்னால்,பெஹிந்தி
